ISBN13,Title,Author,author_id,Cover,,,,,,
9780881842210,The Prisoner In The Opal,AEW Mason,24,http://www.openisbn.com/cover/0881842214_72.jpg,,,,,,
9780944072912,Soon: Tales From Hospice,AG Mojtabai,25,http://www.openisbn.com/cover/0944072917_72.jpg,,,,,,
9780553373738,Fractured Fairy Tales,AJ Jacobs,26,http://www.openisbn.com/cover/0553373730_72.jpg,,,,,,
9780874493801,A First Book Of Shapes (Preschool Dinosaur Playhouse),AJ Wood,27,http://www.openisbn.com/cover/0874493803_72.jpg,,,,,,
9780811828376,The Golden Egg (Templar),AJ Wood,27,,,,,,,
9780385044011,Poems That Touch The Heart,AL Alexander,28,http://www.openisbn.com/cover/0385044011_72.jpg,,,,,,
9780684827100,The End Of Alice,AM Homes,29,http://www.openisbn.com/cover/0684827107_72.jpg,,,,,,
9780965735971,Some Things You Should Know (A Collection Of Stories),AM Homes,29,http://www.openisbn.com/cover/0965735974_72.jpg,,,,,,
9780679405139,Babel Tower,AS Byatt,30,http://www.openisbn.com/cover/0679405135_72.jpg,,,,,,
9780394586236,Possession: A Romance,AS Byatt,30,http://www.openisbn.com/cover/0394586239_72.jpg,,,,,,
9780679751342,Angels and Insects: Two Novellas,AS Byatt,30,http://www.openisbn.com/cover/0679751343_72.jpg,,,,,,
9780679742562,The Game: A Novel,AS Byatt,30,http://www.openisbn.com/cover/0679742565_72.jpg,,,,,,
9780679735908,Possession,AS Byatt,30,http://www.openisbn.com/cover/0679735909_72.jpg,,,,,,
9780679405122,Angels and Insects: Two Novellas,AS Byatt,30,http://www.openisbn.com/cover/0679405127_72.jpg,,,,,,
9780679642381,Possession: A Romance (Modern Library),AS Byatt,30,http://www.openisbn.com/cover/0679642382_72.jpg,,,,,,
9780156814164,The Shadow Of The Sun,AS Byatt,30,http://www.openisbn.com/cover/0156814161_72.jpg,,,,,,
9780679738299,The Virgin In The Garden,AS Byatt,30,http://www.openisbn.com/cover/0679738290_72.jpg,,,,,,
9780671319939,Sidhe-Devil,Aaron Allston,31,http://www.openisbn.com/cover/0671319930_72.jpg,,,,,,
9780451528674,What To Listen For In Music,Aaron Copland,32,,,,,,,
9780446400565,Dead Men's Hearts,Aaron Elkins,33,http://www.openisbn.com/cover/0446400564_72.jpg,,,,,,
9780446404037,The Dark Place,Aaron Elkins,33,http://www.openisbn.com/cover/0446404039_72.jpg,,,,,,
9780380731633,Skeleton Dance (Gideon Oliver Mysteries),Aaron Elkins,33,http://www.openisbn.com/cover/0380731630_72.jpg,,,,,,
9780446405263,Twenty Blue Devils (Gideon Oliver Mysteries),Aaron Elkins,33,http://www.openisbn.com/cover/0446405264_72.jpg,,,,,,
9780449149003,Deceptive Clarity,Aaron Elkins,33,http://www.openisbn.com/cover/0449149005_72.jpg,,,,,,
9780449148297,A Glancing Light (Chris Norgren Mysteries),Aaron Elkins,33,http://www.openisbn.com/cover/0449148297_72.jpg,,,,,,
9780446403085,Make No Bones,Aaron Elkins,33,http://www.openisbn.com/cover/0446403083_72.jpg,,,,,,
9780446400404,Icy Clutches,Aaron Elkins,33,http://www.openisbn.com/cover/0446400408_72.jpg,,,,,,
9780445408647,Curses!,Aaron Elkins,33,http://www.openisbn.com/cover/0445408642_72.jpg,,,,,,
9780743232937,Ruminations On College Life,Aaron Karo,34,http://www.openisbn.com/cover/0743232933_72.jpg,,,,,,
9780740713958,Fresh For '01... You Suckas: A Boondocks Collection,Aaron McGruder,35,http://www.openisbn.com/cover/0740713957_72.jpg,,,,,,
9781400060269,Honku: The Zen Antidote To Road Rage,Aaron Naparstek,36,http://www.openisbn.com/cover/1400060265_72.jpg,,,,,,
9780312265618,Bloodroot: A Novel,Aaron Roy Even,37,http://www.openisbn.com/cover/0312265611_72.jpg,,,,,,
9780671441036,Heritage: Civilization And The Jews,Abba Eban,38,http://www.openisbn.com/cover/0671441035_72.jpg,,,,,,
9780934211475,Tales Of Two Cities: A Persian Memoir,Abbas Milani,39,http://www.openisbn.com/cover/0934211477_72.jpg,,,,,,
